,,CCS NO,IMO No,_id,入级状态,净吨,制造厂,制造日期,受热面积(m2),吃水(满载),呼号,垂线间长,型宽,型式,型深,夏季干舷,总吨,改建日期,数量,曾用名,机动非机动,核定干舷（A级）,核定干舷（B级）,核定干舷（C级）,核定干舷（J1）,核定干舷（J2）,水密横舱壁数,海河船,甲板层数,缸径,缸数,航区,航速,船体附加标志,船名,船检登记号,船级港,船舶入级符合,船舶制造厂,船舶完工日期,船舶归属类别,船舶总长,船舶所有人,船舶类型,船舶经营人,行程,设计压力(Mpa),货舱数,轮机入级符号,轮机附加标志,载运标准集装箱数量（货舱内）,载运标准集装箱数量（货舱舱口盖上）,载重吨,额定功率,额定转速
3130,,14P6270,,5db857825235e74d289afd72,保持船级,2110,,30-5月 -13 03.00.00.000000 下午;30-5月 -13 03.00.00.000000 下午,,4.65,,107.5,19.2,柴油机;柴油机,5.6,,3769,,,,机动,972,972,972,,972,9,河船,,210;210,6;6,A级,9.72,A级航区、J2级航段;矿砂船/双壳散货船,新长江06071,2014G0000905,武汉,★CSAD,安徽省枞阳县泰航船舶有限公司,2014/11/17,国内航行入级船舶,110,交银金融租赁有限责任公司,散货船,长航货运有限公司,290;290,,2,★CSMD,驾驶室遥控,,,7130,735;735,830;830
3131,,16G6181,,5db857835235e74d289afd73,建造入级,2578,台州信邦热能设备制造有限公司,07-5月 -16 03.00.00.000000 下午,,4.813,BHTR,105.6,18,柴油机,8.5,3716,4604,,1,,机动,,,,,,6,海船,1,300,6,近海,10.5,1类航区;敞口集装箱船;装载仪(S、I),五洲104,2016K0000627,连云港,★CSA,连云港五洲船舶重工有限公司,2016/6/1,国内航行入级船舶,107.8,连云港启顺海运有限公司,集装箱船,连云港启顺海运有限公司,380,0.6,3,★CSM,,,,5879,1323,550
3132,,99B1002,,5db857835235e74d289afd74,保持船级,1185,,11-9月 -97 03.00.00.000000 下午;11-9月 -97 03.00.00.000000 下午,,2.54,,81.28,13.8,柴油机;柴油机,3.8,,2117,,,,机动,1272,1272,,,,6,河船,1,220;220,6;6,A级,,A级航区;最低货物温度0℃;最大蒸汽压力1.75MPa;液化气体船（2PG型）,天恩1001,1999U0000644,荆州,★CSAD,武昌造船厂，武汉,1999/3/10,国内航行入级船舶,86.97,湖北天恩石化气船运有限公司,液化气体船,湖北天恩石化气船运有限公司,270;270,,2,★CSMD,机舱自动化-2,,,,450;450,750;750
3133,,10C6101,,5db857845235e74d289afd75,建造入级,1177,青岛船用锅炉厂有限公司,01-8月 -09 12.00.00.000000 上午;01-8月 -09 12.00.00.000000 上午,8.3,5.157,BKP05,61.7,16,柴油机;柴油机,6.3,1112,2103,,1,,机动,,,,,,9,海船,1,300;300,8;8,近海,12.5,B级冰区航行;近海供应船;近海航区,潮昇6007,2010H0000341,舟山,★CSAD,台州宏大船业有限公司,2010/6/13,国内航行入级船舶,67.8,浙江潮昇船务有限公司,供应船,浙江潮昇船务有限公司,380;380,0.5,,★CSMD,,,,,2206;2206,600;600
3134,,14Y6072,,5db857855235e74d289afd76,保持船级,17693,中国张家港格林沙洲锅炉有限公司,15-10月-12 12.00.00.000000 上午,274,10.8,BQJT,195,32.26,柴油机,16.5,5718,31596,,1,,机动,,,,,,7,海船,1,460,6,近海,0,B级冰区航行;加强检验程序;散货船;水下检验;燃油舱保护;装载仪(S、I、G);近海航区;重货加强,新一海17,2014G0000169,舟山,★CSAD,厦门船舶重工股份有限公司,2014/1/6,国内航行入级船舶,199.95,浙江新一海海运有限公司,散货船,浙江新一海海运有限公司,1932,0.9,5,★CSMD,机器处所集中控制;螺旋桨轴状态监控;驾驶室遥控,,,50991,5640,110
3135,,11G6064,,5db857855235e74d289afd77,保持船级,720,,,,1,,129.98,20,,2.9,,2402,,,130米化工趸船,非机动,,1908,,,,8,河船,1,,,B级,,B级航区;趸船,扬巴4号趸船,2011G0000188,南京,★CSAD,重庆长航东风船舶工业公司,2011/3/31,国内航行入级船舶,130,扬子石化-巴斯夫有限责任公司,港用囤船,扬子石化-巴斯夫有限责任公司,,,,★CSMD,,,,,,
3136,,11T6305,,5db857865235e74d289afd78,,1905,无锡威力特船用锅炉有限公司,09-9月 -10 03.00.00.000000 下午,24,5.9,BCER,95.85,15.8,柴油机,7.8,1912,3402,,1,,机动,,,,,,12,海船,1,320,8,近海,,"B级冰区航行;双壳油船,闪点≤60℃;近海航区",日油6,2011W0000915,日照,★CSAD,安徽远东船舶有限公司,2011/10/25,国内航行入级船舶,105.89,日照格瑞思智能科技有限公司,油船（闪点≤60℃）,日照港基海运有限公司,440,0.8,10,★CSMD,,,,,1765,500
3137,,09R6155,,5db857865235e74d289afd79,,800,常州能源设备总厂有限公司;常州能源设备总厂有限公司,15-4月 -09 03.00.00.000000 下午;15-4月 -09 03.00.00.000000 下午,,3.6,,70,13.5,柴油机;柴油机,4.6,1010,1430,,1;1,,机动,,,,,,9,海船,1,170;170,6;6,沿海,10,加强检验程序;化学品液货船（3型）;沿海航区,盛荣华,2009H0000493,广州,★CSAD,广州市南沙兴华造船有限公司,2009/12/10,国内航行入级船舶,75,广州中船航运有限公司,化学品液货船,广州中船航运有限公司,200;200,.7;.7,8,★CSMD,,,,,300;300,1000;1000
3138,,14C6213,,5db857875235e74d289afd7a,保持船级,940,,15-6月 -14 12.00.00.000000 上午;15-6月 -14 12.00.00.000000 上午,,3.5,,80.7,14.8,柴油机;柴油机,4.2,,1679,,,,机动,708,608,608,,,11,河船,1,170;170,8;8,A级,9.72,A级航区;不锈钢;化学品液货船（2型，2G）/双壳油船（闪点≤60℃）;最大压力0.022MPa;最大货物密度1200kg/m3;最高货物温度50℃,天宜168,2014D0000626,宜春,★CSAD,扬州大华船业有限公司,2014/9/3,国内航行入级船舶,83.98,江西省天宜航运有限公司,化学品液货船,江西省天宜航运有限公司,200;200,,8,★CSMD,驾驶室遥控,,,2699,353;353,1000;1000
3139,,18J6124,,5db857875235e74d289afd7b,建造入级,165,,15-6月 -17 12.00.00.000000 上午;15-6月 -17 12.00.00.000000 上午;15-6月 -17 12.00.00.000000 上午;19-7月 -17 12.00.00.000000 上午,,3.85,,34.49,10.2,柴油机;柴油机;电力驱动;电力驱动,4.9,1060,552,,,,机动,,,,,,4,海船,,210;210,6;6,近海,,拖船;沿海航区拖航;绿色船舶1;近海航区调遣,海港711,2018F0000135,上海,★CSAD,上海港复兴船务有限公司,2018/3/12,国内航行入级船舶,38.47,上海港复兴船务有限公司,普通拖船,上海港复兴船务有限公司,320;320,,,★CSMD,驾驶室遥控,,,151,1100;1100;370;370,550;550;900;900
3140,,12Y6154,,5db857885235e74d289afd7c,,16987,张家港格林沙洲锅炉有限公司,03-9月 -11 03.00.00.000000 下午,,10.7,BPHW,192,32.26,柴油机,16.2,5520,30334,,1,,机动,,,,,,7,海船,1,460,6,近海,,B级冰区航行;散货船;燃油舱保护;装载仪(S、I、G);近海航区,友好1,2012W0000464,上海,★CSAD,中海工业（江苏）有限公司,2012/5/18,国内航行入级船舶,199.99,上海友好航运有限公司,散货船,上海友好航运有限公司,1932,0.9,5,★CSMD,机器处所集中控制,,,,6450,108
3141,,12P6306,,5db857885235e74d289afd7d,建造入级,1658,江阴市三杰实业有限公司,15-6月 -12 03.00.00.000000 下午,11.5,5.95,BBWU,89.8,15.8,柴油机,7.05,1110,2962,,1,YD2011-07,机动,,,,,,11,海船,1,320,8,近海,,"B级冰区航行;双壳油船,闪点≤60℃;近海航区",日油9,2012F0000840,日照,★CSAD,安徽远东船舶有限公司,2012/8/31,国内航行入级船舶,96.9,日照格瑞思智能科技有限公司,油船（闪点≤60℃）,日照港基海运有限公司,440,0.8,10,★CSMD,,,,,1765,500
3142,,13W6295,,5db857895235e74d289afd7e,保持船级,2049,无锡威力特船用锅炉有限公司,25-4月 -13 03.00.00.000000 下午;25-4月 -13 03.00.00.000000 下午,30,5,,94.6,17.2,柴油机;柴油机,6,,3659,,1,金航3500T－1＃化学品船,机动,1008,1008,1008,,1008,13,河船,,210;210,6;6,A级,,"2型;A级航区，J2级急流航段;不锈钢;化学品/油液货船;最大压力0.0216MPa,最高货物温度50℃;最大货物密度1050kg/m3;闪点≤60℃",神州3516,2013A0000660,重庆,★CSAD,重庆东港船舶产业有限公司,2013/12/13,国内航行入级船舶,100.02,重庆新金航国际物流股份有限公司,化学品液货船,重庆新金航国际物流股份有限公司,300;300,0.8,18,★CSMD,驾驶室遥控,,,,662;662,750;750
3143,,11T6144,,5db8578a5235e74d289afd7f,保持船级,2562,常州市锅炉设备有限公司;常州市锅炉设备有限公司,11-6月 -10 03.00.00.000000 下午,9.5,6.192,BLFN2,110.7,16.3,柴油机,8.3,2112,4576,,1;1,,机动,,,,,,10,海船,1,320,8,近海,,B级冰区航行;双壳油船（闪点≤60℃）;近海航区,盛飞601,2011B0000505,南京,★CSAD,浙江宏盛造船有限公司,2011/6/2,国内航行入级船舶,117.18,南京盛飞油运有限公司,油船（闪点≤60℃）,南京盛飞油运有限公司,440,.9;1,12,★CSMD,,,,6941,2206,525
3144,,12A6132,,5db8578a5235e74d289afd80,保持船级,1167,江阴市三杰实业有限公司,07-11月-11 03.00.00.000000 下午;07-11月-11 03.00.00.000000 下午,,4.1,,82,14.8,柴油机;柴油机,5.1,,2084,,1,ZJS-T006,机动,1008,1008,1008,,1008,11,河船,,210;210,6;6,A级,,A级航区、J2级航段;化学品液货船（2型）/ 双壳油船（闪点≤60℃）;最大压力0.02MPa;最大货物密度1022kg/m3;最高货物温度50℃,长航金和306,2012G0000381,南京,★CSAD,南京长江油运公司紫金山船厂,2012/5/10,国内航行入级船舶,87,南京长江金和油运有限公司,化学品液货船,南京长江金和油运有限公司,290;290,0.8,12,★CSMD,驾驶室遥控,,,,440;440,600;600
3145,,87Y3033,,5db8578b5235e74d289afd81,初次入级,22531,Aalborg Vaerft A.S Denmark,11-6月 -87 03.00.00.000000 下午,364,13.908,BPPV,217,32.2,柴油机,19.6,4702,40234,2007/7/6,1,大庆91,机动,,,,,,8,海船,1,600,6,近海,,"B级冰区航行;COMPASS(D,F);双舷侧散货船;安全管理体系;装载仪(S.I);近海航区",清华山,1987C0000911,广州,★CSAD,上海沪东造船厂,1987/12/31,国内航行入级船舶,224.6,中海散货运输有限公司,散货船,中海散货运输有限公司,1944,1.15,6,★CSMD,,,,,9900,111
3146,,10J6222,,5db8578b5235e74d289afd82,建造入级,401,,,,2,,43.95,9,柴油机;柴油机,2.9,,668,,,,机动,,906,906,,,5,河船,1,,,B级,,B级航区;客渡船,江城2号,2010D0000889,武汉,★CSAD,武昌船舶重工有限责任公司,2010/12/6,国内航行入级船舶,46.55,武汉市轮渡公司,客渡船,武汉市轮渡公司,,,,★CSMD,,,,87,220;220,1500;1500
3147,,14B6097,,5db8578c5235e74d289afd83,,333,,13-6月 -13 03.00.00.000000 下午;13-6月 -13 03.00.00.000000 下午,,2.6,,53.6,11,柴油机;柴油机,3.2,,596,,,,机动,548,548,548,,,9,河船,,160;160,6;6,A级,,A级航区;化学品液货船2型;最大压力0.02MPa，最高货物温度50℃;最大货物密度( 1350  kg/m3),安庆曙光098,2014R0000224,安庆,★CSAD,安庆市宁江船舶修造贸易有限公司,2014/5/5,国内航行入级船舶,56,安庆市曙光航运有限责任公司,化学品液货船,安庆市曙光航运有限责任公司,225;225,,8,★CSMD,,,,1018,184;184,1000;1000
3148,,00M6014,,5db8578c5235e74d289afd84,初次入级,21185,"SASEBO HEAVY IND. CO., LTD.",02-2月 -00 12.00.00.000000 上午,,13.5,BTKD5,218,32.2,柴油机,18.7,5221,37831,,1,,机动,,,,,,9,海船,1,600,6,近海,14.5,可以2、4 & 6 舱空舱;散货船;装载仪(S、I);近海航区,顺宏宇,2000A0000428,福州,★_CSAD,"SASEBO HEAVY IND. CO., LTD. 日本",2000/10/18,国内航行入级船舶,225,福建顺宏海运有限责任公司,散货船,福建顺宏海运有限责任公司,2292,0.7,7,★_CSMD_,,,,72561,8826,94
3149,,03K6096,,5db8578d5235e74d289afd85,保持船级,17036,青岛奥尔堡锅炉;青岛奥尔堡锅炉,15-1月 -02 12.00.00.000000 上午,,11.995,BTJG7,182,32.26,柴油机,17,5018,30422,,1;1,,机动,,,,,,7,海船,1,500,6,近海,,散货船;近海航区,顺鼎69,2003X0000545,台州,★_CSAD,"JIANGNAN SHIPYARD（GROUP）CO.,LTD.",2003/3/12,国内航行入级船舶,189.99,台州市顺鼎海运有限公司,散货船,台州市顺鼎海运有限公司,2000,.9;.9,5,★_CSMD_,,,,50489,9480,127
3150,,95X3026,,5db8578d5235e74d289afd86,初次入级,3683,Wiesloch BV;Wiesloch BV,01-5月 -95 12.00.00.000000 上午,31.8,8.2,BBUG,119,18.6,柴油机,10.9,2735,6577,,1;1,,机动,,,,,,7,海船,1,450,8,近海,,B级冰区航行;普通干货船;近海航区;集装箱系固设备,新泓润29,1995P0000741,厦门,★CSAD,"Husumer Schiffswerft A.G.,Germany",1995/8/25,国内航行入级船舶,127.92,厦门泓润海运有限公司,一般干货船,厦门泓润海运有限公司,520,1;1,3,★CSMD,机器处所周期无人值班,,,10266,5400,500
3151,,,,5db8578e5235e74d289afd87,建造入级,,,,,,,96,,,,,2678,,,,机动,,,,,,7,河船,,,,A级,,,金顺6116,3000K0001732,泰州,,扬州海润船业有限公司,,国内航行入级船舶,96,泰州市姜堰三航运输有限公司,化学品液货船,泰州市姜堰三航运输有限公司,,,,,,,,,,
3152,,07H6091,,5db8578e5235e74d289afd88,恢复船级,72,,01-11月-06 12.00.00.000000 上午;01-11月-06 12.00.00.000000 上午,,1.15,,30,5.2,柴油机;柴油机,2.3,,121,,,海巡31513,机动,,1154,,,1154,4,河船,1,159;159,6;6,B级,34,B级航区、J2级航段;高速单体船,海巡12513,2007P0000136,岳阳,★CSAD,武汉南华高速船舶工程股份有限公司,2007/5/10,国内航行入级船舶,34.6,中华人民共和国长江海事局,巡逻船,中华人民共和国岳阳海事局,159;159,,,★CSMD,,,,,339;339,1744;1744
3153,,13G6281,,5db8578f5235e74d289afd89,保持船级,1666,无锡威力特船用锅炉有限公司;无锡威力特船用锅炉有限公司;无锡威力特船用锅炉有限公司,25-12月-12 03.00.00.000000 下午,146;17.5;89.5,5.8,BLAI,95.07,15,柴油机,7.45,1660,2976,,1;1;1,,机动,,,,,,9,海船,1,320,6,近海,9.3,"B级冰区航行;油船（闪点>60℃）;石油沥青船,整体液货舱，最高货物温度160℃，闪点>60℃;近海航区",国海2,2013L0000624,宁波,★CSAD,宁波市北仑康达船舶修造厂,2013/8/26,国内航行入级船舶,99.8,宁波市镇海国海海运有限公司,油船（闪点>60℃）,宁波市镇海国海海运有限公司,380,.8;1.1;1.1,10,★CSMD,,,,4819,735,600
3154,,06H6155,,5db857905235e74d289afd8a,保持船级,3656,青岛船用锅炉厂,17-4月 -06 03.00.00.000000 下午;17-4月 -06 03.00.00.000000 下午,70,6.5,BUUQ,114,20,柴油机;柴油机,9,2528,6529,,1,,机动,,,,,,7,海船,1,300;300,6;6,近海,11.5,A级航区;B级冰区航行;双舷侧散货船;装载仪(S.I);近海航区;重货加强,长泰海,2006W0000249,武汉,★CSAD,中国长江航运集团宜昌船厂,2006/8/5,国内航行入级船舶,121,交银金融租赁有限责任公司,散货船,长航货运有限公司,380;380,0.9,2,★CSMD,驾驶室遥控,,,10039,1323;1323,550;550
3155,,06G6200,,5db857905235e74d289afd8b,建造入级,1114,九江海天设备制造有限公司莱顿锅炉,01-3月 -06 12.00.00.000000 上午;01-3月 -06 12.00.00.000000 上午,25.1,2.5,BFFG,81.8,16,柴油机;柴油机,4.2,1214,1990,,1,,机动,,,,,,9,海船,1,210;210,6;6,近海,10,B级冰区航行;双壳油船（闪点≤60℃）;近海航区,中油海511,2006W0000318,天津,★CSAD,山东省威海船厂,2006/11/29,国内航行入级船舶,86.6,中油海工船舶（天津）有限公司,油船（闪点≤60℃）,舟山市普陀安顺海运有限责任公司等,290;290,0.78,6,★CSMD,机器处所集中控制;驾驶室遥控,,,,610;610,830;830
3156,,13W6226,,5db857915235e74d289afd8c,保持船级,1678,无锡威力特船用锅炉有限公司;无锡威力特船用锅炉有限公司,11-1月 -13 03.00.00.000000 下午,,5.85,BKRT6,89.8,15.2,柴油机,6.8,960,2997,,1;1,ZSC503,机动,,,,,,10,海船,1,250,8,近海,,B级冰区航行;双壳油船（闪点≤60℃）;近海航区,安通27,2013R0000468,舟山,★CSAD,滨州中盛海运船务有限公司,2013/6/26,国内航行入级船舶,96.09,浙江一舟海运有限公司,油船（闪点≤60℃）,浙江一舟海运有限公司,320,1.1;1.1,10,★CSMD,,,,4869,735,650
3157,,04Y3009,,5db857915235e74d289afd8d,保持船级,554,,07-6月 -04 03.00.00.000000 下午;28-5月 -04 03.00.00.000000 下午,,2.5,,72,13.6,柴油机;柴油机,3.2,,990,,,,机动,,706,706,706,706,9,河船,1,,,B级,,B级航区、J1级航段;油船（闪点≤60℃）,新平江1030,2004K0000266,南京,★CSAD,中国长江航运集团宜昌船厂,2004/7/23,国内航行入级船舶,75,南京长江油运物流有限公司,油船（闪点≤60℃）,南京长江油运物流有限公司,,,8,★CSMD,,,,1320,360;360,1200;1200
3158,,13Y6136,,5db857925235e74d289afd8e,保持船级,4160,无锡威力特船用锅炉有限公司;无锡威力特船用锅炉有限公司,15-4月 -12 12.00.00.000000 上午,100;19,7.769,BIBC4,118.8,19.05,柴油机,11,3214,7430,,1;1,,机动,,,,,,10,海船,1,320,6,近海,,双壳油船（闪点≤60℃）;近海航区,宏致66,2013K0000255,上海,★CSAD,浙江海丰造船有限公司,2013/3/21,国内航行入级船舶,125,上海丰乐船务有限公司,油船（闪点≤60℃）,上海丰乐船务有限公司,480,1.1;1.1,14,★CSMD,,,,,2930,600
3159,,12P6582,,5db857925235e74d289afd8f,保持船级,534,,,,1.2,,73.31,21,,3.5,,1783,,,紫光趸1号,非机动,,2310,2310,,2310,7,河船,,,,B级,0,B级航区、J2级航段;趸船,紫光1号趸,2012X0000488,丰都,★CSAD,重庆长航东风船舶工业公司东风修船分厂,2012/6/29,国内航行入级船舶,75.52,重庆紫光新科化工开发有限公司,起重囤船,重庆紫光新科化工开发有限公司,,,0,★CSMD,,,,685,,
3160,,15E6128,,5db857935235e74d289afd90,建造入级,176,,21-6月 -14 03.00.00.000000 下午;21-6月 -14 03.00.00.000000 下午,,4.2,,32.58,12.8,柴油机;柴油机,5.69,1294,589,,,,机动,,,,,,5,海船,1,280;280,8;8,沿海,14,B级冰区航行;拖船;沿海航区,津港轮29,2015V0000168,天津,★CSAD,天津中交博迈科海洋船舶重工有限公司,2015/1/28,国内航行入级船舶,36.73,天津港轮驳有限公司,普通拖船,天津港轮驳有限公司,370;370,,,★CSMD,驾驶室遥控,,,,2206;2206,750;750
3161,,02B2012,9275866,5db857935235e74d289afd91,初次入级,606,,29-11月-18 12.00.00.000000 上午;29-11月-18 12.00.00.000000 上午,,4,BMKE,59.98,12,柴油机;柴油机,4.8,608,1083,,,,机动,808,,,,,10,河船,1,180;180,6;6,A级,10.82,A级航区;化学品液货船（2型，2G）/油船（闪点≤60°）,东桂3,2002H0000131,梧州,★CSAD,广西梧州造船厂,2002/6/18,国内航行入级船舶,65,广西梧州同舟船务运输有限公司,化学品液货船,广西梧州同舟船务运输有限公司,210;210,,8,★CSMD,,,,,440;440,1000;1000
3162,,06S2001,9295189,5db857945235e74d289afd92,临时入级,22665,Aalborg Industries Ltd.(Qingdao),01-10月-05 12.00.00.000000 上午,,14.25,BOCE,217,32.26,柴油机,19.6,5368,40473,,1,,机动,,,,,,9,海船,1,,5,远海,14,COMPASS (D);可以2、4、6舱空舱;散货船;装载仪(S、I、G);远海航区;重货加强,远慧海,2006N0000425,海口,★CSAD,沪东中华造船（集团）有限公司,2006/4/13,国内航行入级船舶,225,海南海盛航运有限公司,散货船,中远散货运输有限公司,,0.9,7,★CSMD,机器处所周期无人值班;轮机循环检验,,,74259,8990,92
3163,,09B6026,,5db857945235e74d289afd93,,1897,,27-11月-08 12.00.00.000000 上午;27-11月-08 12.00.00.000000 上午,,5.6,,94.41,17,柴油机;柴油机,6.4,,3389,,,荣江15003,机动,828,828,,,,8,河船,1,,,A级,,A级航区;双壳散货船/矿砂船,长江粮运1,2009S0000065,泸州,★CSAD,重庆市祥利船舶制造有限公司,2009/2/21,国内航行入级船舶,100.08,中航国际租赁有限公司,散货船,四川长江粮运有限公司,,,1,★CSMD,,,,6436,662;662,750;750
3164,,14F6308,,5db857955235e74d289afd94,建造入级,1673,,09-11月-14 03.00.00.000000 下午;09-11月-14 03.00.00.000000 下午,,4.05,BKUF6,95.4,22,柴油机;柴油机,5.4,1366,2988,,,,机动,,,,,,5,海船,1,300;300,6;6,远海,10.3,B级冰区航行;甲板货船;远海航区,盛畅7,2014M0001048,舟山,★CSAD,连云港五洲船舶重工有限公司,2014/12/16,国内航行入级船舶,99.8,舟山盛畅海运有限公司,甲板货船,舟山盛畅海运有限公司,380;380,,0,★CSMD,驾驶室遥控,,,5074,1103;1103,500;500
3165,,12A6224,,5db857955235e74d289afd95,建造入级,673,Machinefabriek Novum B.V.,20-10月-11 03.00.00.000000 下午;20-10月-11 03.00.00.000000 下午,5.9,2.5,,75,15,电力驱动;电力驱动,4.8,,2243,,1,NTJ2011-06,机动,2310,2310,,,,7,河船,,,,A级,,A级航区;吹泥船,吸盘2,2012J0000659,武汉,★CSAD,南通港闸船舶制造有限公司,2012/7/3,国内航行入级船舶,89.3,长江武汉航道工程局,挖泥船,长江武汉航道工程局,,0.6,,★CSMD,,,,,1250;1250,1500;1500
3166,,09G6100,,5db857965235e74d289afd96,建造入级,424,张家港格林沙洲锅炉有限公司,,12,3,,59.4,16.1,,5.2,1812,1416,,1,,非机动,,,,,,5,海船,1,,,沿海,,在沿海海域内作业;近海航区调遣;铰吸式挖泥船;非机动,连航浚2,2009T0000296,深圳,★CSAD,南京长江油运公司紫金山船厂,2009/8/8,国内航行入级船舶,73.8,国银金融租赁有限公司,绞吸式挖泥船,大连航运集团有限公司,,0.78,,,,,,,,
3167,,17R6241,,5db857975235e74d289afd97,建造入级,1646,江阴市三杰实业有限公司;江阴市三杰实业有限公司,16-4月 -17 12.00.00.000000 上午,165,5.6,,89.8,15,柴油机,6.5,910,2940,,1;1,,机动,,,,,,10,海船,,320,6,近海,,B级冰区航行;加强检验程序;双壳油船 闪点≤60℃;近海航区,宇顺69,2017B0001088,舟山,★CSAD,南京蓝昇船舶修造有限公司,2017/12/7,国内航行入级船舶,97.28,浙江宇顺海运有限公司,油船（闪点≤60℃）,浙江宇顺海运有限公司,380,.8;1,10,★CSMD,,,,4552,735,600
3168,,14A6096,,5db857975235e74d289afd98,建造入级,11977,江阴市三杰实业有限公司,01-12月-11 12.00.00.000000 上午,220,10.5,BHSP4,172.06,28.6,柴油机,14.3,3820,21388,,1,,机动,,,,,,8,海船,1,420,6,近海,13.5,B级冰区航行;双舷侧散货船;装载仪(S、I、G);近海航区,信耀,2014N0000221,台州,★CSAD,连云港和利通船舶重工有限公司,2014/3/20,国内航行入级船舶,179.99,梁于华等,散货船,浙江海盛海运有限公司,1764,0.8,5,★CSMD,,,,36106,6480,136
3169,,,,5db857985235e74d289afd99,建造入级,,,,,,,115,,,,,8057,,,,机动,,,,,,,海船,,,,近海,,B级冰区航行;普通干货船;燃油舱保护;装载仪(S、I、D);近海航区;集装箱船,700箱集装箱船-2,3000N0002747,青岛,★CSAD,武汉双柳武船重工有限责任公司,,国内航行入级船舶,118,,集装箱船,,,,,★CSMD,机器处所集中控制,,,,,
3170,,09F0027,,5db857985235e74d289afd9a,保持船级,1261,无锡威力特船用锅炉有限公司,01-7月 -08 12.00.00.000000 上午,,5.2,BIOT,84.3,13.5,柴油机,6.5,1310,2253,,1,,机动,,,,,,12,海船,1,320,6,近海,,化学品液货船（2型）;装载仪(S、I、D);近海航区,汇通27,2009Y0000600,上海,★CSAD,宁波市北仑蓝天造船有限公司,2009/1/15,国内航行入级船舶,91.3,上海汇通船务有限责任公司,化学品液货船,上海汇通船务有限责任公司,440,0.8,12,★CSMD,,,,3360,1545,525
3171,,13F6165,,5db857995235e74d289afd9b,建造入级,559,,19-7月 -12 03.00.00.000000 下午;19-7月 -12 03.00.00.000000 下午,,2.43,,68.6,12.8,柴油机;柴油机,3.1,,998,,,,机动,678,508,,,,10,河船,,140;140,6;6,A级,,A级航区;双壳油船 闪点≤60℃,湘金和109,2013L0000325,长沙,★CSAD,益阳中海船舶有限责任公司,2013/4/26,国内航行入级船舶,71,湖南金和石油实业有限公司,油船（闪点≤60℃）,湖南金和石油实业有限公司,152;152,,8,★CSMD,,,,1471,224;224,1800;1800
3172,,14N6315,,5db857995235e74d289afd9c,保持船级,2110,,05-3月 -12 03.00.00.000000 下午;05-3月 -12 03.00.00.000000 下午,,4.65,,107.5,19.2,柴油机;柴油机,5.6,,3769,,,,机动,972,972,972,,972,9,河船,,210;210,6;6,A级,,A级航区、J2级航段;矿砂船/双壳散货船,新长江06054,2014M0001071,武汉,★CSAD,湖北海泰造船有限公司,2014/12/30,国内航行入级船舶,110,交银金融租赁有限责任公司,散货船,长航货运有限公司,300;300,,2,★CSMD,驾驶室遥控,,,7120,735;735,830;830
3173,,08H6050,,5db8579a5235e74d289afd9d,建造入级,372,,,,2.55,BFGI,64.4,15.4,,4,1460,1242,,,,非机动,,,,,,6,海船,1,,,沿海,,在沿海海域内作业;绞吸式挖泥船;近海航区;非机动,港海浚336,2.01E+116,天津,★CSAD,大连辽南船厂,2008/7/14,国内航行入级船舶,98.5,港海（天津）建设股份有限公司,绞吸式挖泥船,港海（天津）建设股份有限公司,,,,,,,,,,
3174,,11X6010,,5db8579a5235e74d289afd9e,保持船级,133,,20-8月 -09 03.00.00.000000 下午;29-8月 -08 03.00.00.000000 下午,,2.1,,34.35,13.8,柴油机;柴油机,3.5,758,444,,,,机动,,,,,,4,海船,1,159;159,6;6,沿海,7.2,工作甲板(最大负荷2.5t/㎡);拖钩(120KN);沿海航区;锚艇,海宏航工伍号,2011R0000036,南通,★CSAD,江苏韩通船舶重工有限公司,2011/1/6,国内航行入级船舶,38.8,江苏海宏建设工程有限公司,抛锚船,江苏海宏建设工程有限公司,159;159,,,★CSMD,,,,,373;373,1800;1800
3175,,19Y6143,,5db8579b5235e74d289afd9f,,376,,15-4月 -16 12.00.00.000000 上午;15-8月 -15 12.00.00.000000 上午,,2.7,BJWJ,51.5,9.5,柴油机;柴油机,4,1308,673,,,,机动,,,,,,8,海船,1,250;250,6;6,近海,15,普通干货船;近海航区,金银岛,2019N0000128,三沙,★CSAD,浙江正和造船有限公司,2019/3/14,国内航行入级船舶,54.38,江苏省建筑工程集团有限公司,一般干货船,江苏省建筑工程集团有限公司,300;300,,2,★CSMD,驾驶室遥控,,,326,1103;1103,750;750
3176,,15J6431,,5db8579b5235e74d289afda0,初次入级,49,,10-8月 -13 03.00.00.000000 下午;10-8月 -13 03.00.00.000000 下午,,1.42,BLBM5,26.76,7.21,柴油机（右）;柴油机（左）,3.31,2090,165,,,,机动,,,,,,4,海船,2,135;135,16;16,沿海航区营运限制,30,公务船;沿海营运限制;高速单体船,中国海关755,2015E0001878,宁波,★CSAD,广东宝达游艇制造有限公司,2015/4/10,国内航行入级船舶,30.73,中华人民共和国大榭海关,巡逻船,中华人民共和国大榭海关,156;156,,,★_CSMD,,,,18,1630;1630,2450;2450
