,,CCS NO,IMO No,_id,入级状态,净吨,制造厂,制造日期,受热面积(m2),吃水(满载),呼号,垂线间长,型宽,型式,型深,夏季干舷,总吨,改建日期,数量,曾用名,机动非机动,核定干舷（A级）,核定干舷（B级）,核定干舷（C级）,核定干舷（J1）,核定干舷（J2）,水密横舱壁数,海河船,甲板层数,缸径,缸数,航区,航速,船体附加标志,船名,船检登记号,船级港,船舶入级符合,船舶制造厂,船舶完工日期,船舶归属类别,船舶总长,船舶所有人,船舶类型,船舶经营人,行程,设计压力(Mpa),货舱数,轮机入级符号,轮机附加标志,载运标准集装箱数量（货舱内）,载运标准集装箱数量（货舱舱口盖上）,载重吨,额定功率,额定转速
30,,07F6066,,5db850105235e74d289af156,保持船级,1005,,,,3,,81,26.4,,5.2,1400,3353,,,洋山三号,非机动,,,,,,5,海船,1,,,近海,,在沿海海域内作业;近海航区;铺排船;非机动,交通建设四号,2007L0000087,上海,★CSAD,南通港闸船舶制造有限公司,2007/3/20,国内航行入级船舶,84.3,中交疏浚（集团）股份有限公司,工程船,中交疏浚（集团）股份有限公司,,,,,,,,,,
31,,90V2309,,5db850115235e74d289af157,保持船级,5599,"MIURA CO.,LTD. 日本;MIURA CO.,LTD. 日本",01-12月-89 12.00.00.000000 上午,8.9,6.9,BUWA,100,21,柴油机,8.5,1606,9999,,1;1,,机动,,,,,,4,海船,8,370,6,远海,,滚装船;远海航区,长宇,1990Q0000812,深圳,★_CSAD,"Usuki Shipyard Co.,Ltd.",1990/5/25,国内航行入级船舶,109.6,深圳长航滚装物流有限公司,滚装船,深圳长航滚装物流有限公司,880,.75;.75,8,★_CSMD_,,,,,3089,210
32,,14R6157,,5db850125235e74d289af158,保持船级,16388,青岛船用锅炉厂有限公司,15-3月 -14 12.00.00.000000 上午,213.5,11,BHNW9,187,32.26,柴油机,16.2,5224,29266,,1,,机动,,,,,,7,海船,1,480,6,近海,,B级冰区航行;COMPASS(D、F);散货船;燃油舱保护;装载仪(S、I、G);近海航区,利电9,2014W0000390,江阴,★CSAD,中船澄西船舶修造有限公司,2014/6/6,国内航行入级船舶,189.99,江阴利电煤炭运销有限公司,散货船,江阴利电煤炭运销有限公司,2000,0.9,5,★CSMD,机器处所集中控制,,,48743,6120,110
33,,12W6060,,5db850125235e74d289af159,保持船级,126,,16-1月 -12 03.00.00.000000 下午;16-1月 -12 03.00.00.000000 下午,,2.7,BDNQ6,34.5,10,柴油机;柴油机,3.6,408,423,,,盛邦1002,机动,,,,,,5,海船,1,170;170,8;8,沿海,9,沿海航区;锚艇,华电2001,2012X0000212,唐山,★CSAD,南通润邦海洋工程装备有限公司,2012/3/20,国内航行入级船舶,36,华电曹妃甸重工装备有限公司,工程船,华电曹妃甸重工装备有限公司,195;195,,,★CSMD,,,,,829;829,1548;1548
34,,07J6000,,5db850135235e74d289af15a,建造入级,123,,06-4月 -06 12.00.00.000000 上午;06-4月 -06 12.00.00.000000 上午,,3.116,BPHZ,31,9.8,柴油机;柴油机,4.3,1108,411,,,,机动,1108,,,,,4,河船,1,260;260,6;6,A级,,A级航区;拖船,中海拖2,2007U0000003,上海,★CSAD,中海工业有限公司立新船厂,2007/1/26,国内航行入级船舶,35.5,中海工业(上海长兴)有限公司,普通拖船,中海工业(上海长兴)有限公司,350;350,,,★CSMD,,,,,1471;1471,750;750
35,,89R2047,,5db850135235e74d289af15b,保持船级,14498,"Sanwa Iron Works Co., Ltd.",31-8月 -88 12.00.00.000000 上午,336.1,11.3,BPDR,177,30.4,单作用二冲程柴油机,16.2,4922,25891,,1,,机动,,,,,,7,海船,1,600,6,近海,14,安全管理体系;散货船;装载仪(S、I、G);近海航区;重货加强,银鹏,1989H0000796,上海,★_CSAD,"Tsuneishi Shipbuilding Co.,Ltd.,日本",1989/6/16,国内航行入级船舶,185.84,上海时代航运有限公司,散货船,上海时代航运有限公司,1944,0.8,5,★_CSMD_,,,,,7120,100
36,,11B6013,,5db850145235e74d289af15c,建造入级,11153,---,07-11月-10 03.00.00.000000 下午,34,10.28,BFAM9,170.8,27.6,柴油机,13.9,3638,19917,,1,,机动,,,,,,7,海船,1,420,6,远海,13.5,B级冰区航行;加强检验程序;可以2、4舱空舱;散货船;装载仪(S.I.G);远海航区;重货加强,长骄海,2011X0000042,武汉,★CSAD,浙江长宏造船有限公司,2011/1/6,国内航行入级船舶,178,长航货运有限公司,散货船,长航货运有限公司,1764,0.78,5,★CSMD,,,,,6480,136
37,,15W6374,,5db850145235e74d289af15d,建造入级,142,,25-7月 -15 03.00.00.000000 下午;25-7月 -15 03.00.00.000000 下午,,3.935,BSBW,31.85,10.4,柴油机;柴油机,5.35,725,476,,,,机动,,,,,,4,海船,1,260;260,6;6,近海,12.5,B级冰区航行;拖船;近海航区,交工3,2015X0001366,大连,★CSAD,江苏省镇江船厂（集团）有限公司,2015/12/31,国内航行入级船舶,38.08,中交一航局第三工程有限公司,普通拖船,中交一航局第三工程有限公司,385;385,,,★CSMD,,,,158,1580;1580,750;750
38,,16K6207,,5db850155235e74d289af15e,保持船级,532,,20-6月 -15 03.00.00.000000 下午;20-6月 -15 03.00.00.000000 下午,,3.25,,65.2,12.8,柴油机;柴油机,3.9,,951,,,,机动,658,658,658,,,9,河船,,170;170,6;6,A级,8.64,A级航区;化学品液货船（2型）;最大压力0.022MPa;最大货物密度1840kg/m3;最高货物温度50℃,通达化888,2016W0000247,泰州,★CSAD,江苏同康船业有限公司,2016/12/5,国内航行入级船舶,67.8,泰兴市通达航运有限公司,化学品液货船,泰兴市通达航运有限公司,200;200,,3,★CSMD,,,,1828,220;220,1000;1000
39,,80H0614,,5db850155235e74d289af15f,初次入级,733,,01-4月 -80 12.00.00.000000 上午,,5.3,,72,12.5,柴油机,5.9,610,1595,,,,机动,,,,,,8,海船,1,,,沿海,,安全管理体系;油船;沿海航区;特别定期检验;闪点不超过60℃,恒宇1,1980M0001064,茂名,★_CSAD,"Murakami Hide Shipbuilding Co.,Japan",1980/8/8,国内航行入级船舶,78.4,广东瑞高海运物流有限公司,油船（闪点≤60℃）,广东瑞高海运物流有限公司,,,8,★_CSMD_,,,,,1491,320
